,app_status,pass_course,pass_courseDegreeChoice,pass_campus,pass_campusFirstChoice,pass_pursue,pass_otherUniversity,waitlist_course,waitlist_campus,dpwas_campus,campus
22,Yes,BS FOOD TECHNOLOGY,4th Degree,UP DILIMAN,Yes,yes,,,,,carc
23,Yes,BS PHARMACEUTICAL SCIENCES,2nd Degree,UP MANILA,Yes,yes,,,,,carc
24,DPWAS,,,,,,,,,UP MANILA,carc
25,DPWAS,,,,,,,,,UP MANILA,carc
26,DPWAS,,,,,,,,,UP MANILA,carc
27,No,,,,,,,,,,carc
28,Yes,BS BIOCHEMISTRY,1st Degree,UP MANILA,Yes,yes,,,,,carc
29,No,,,,,,,,,,carc
30,No,,,,,,,,,,carc
31,Yes,BS ELECTRONICS ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,carc
32,No,,,,,,,,,,carc
33,Yes,BS VETERINARY MEDICINE,4th Degree,UP LOS BANOS,Yes,not sure,Philippine State College of Aeronautics(if admitted),,,,carc
34,Yes,BS PHARMACEUTICAL SCIENCES,1st Degree,UP MANILA,Yes,yes,,,,,carc
35,Yes,BS PHARMACEUTICAL SCIENCES,1st Degree,UP MANILA,Yes,not sure,,,,,carc
36,No,,,,,,,,,,carc
37,DPWAS,,,,,,,,,UP MANILA,carc
38,No,,,,,,,,,,carc
39,Yes,BS APPLIED PHYSICS,1st Degree,UP LOS BANOS,No,not sure,"I will pursue UP if they allow me to transfer to UPB Com Sci. If they don't allow the transfer and I don't pass on the DOST Scholarship, I will pursue my course and campus. If they don't allow the transfer but I pass the DOST Scholarship, I will go to SLU to study Electrical Engineering.  ",,,,carc
40,Yes,BS COMPUTER SCIENCE,1st Degree,UP DILIMAN,Yes,yes,,,,,carc
41,No,,,,,,,,,,carc
42,Waitlisted,,,,,,,BS MATH,UP BAGUIO,,carc
43,Yes,BS CHEMICAL ENGINEERING,1st Degree,UP DILIMAN,Yes,no,ATENEO DE MANILA UNIVERSITY,,,,carc
44,No,,,,,,,,,,carc
45,No,No,,,,,,,,,carc
46,DPWAS,,,,,,,,,UP BAGUIO,carc
47,No,,,,,,,,,,carc
48,Yes,BS COMPUTER SCIENCE,2nd Degree,UP BAGUIO,No,not sure,SAINT LOUIS UNIVERSITY BAGUIO CITY,,,,carc
49,Yes,BS CHEMICAL ENGINEERING,1st Degree,UP LOS BANOS,Yes,yes,,,,,carc
50,Yes,BS COMPUTER SCIENCE,1st Degree,UP LOS BANOS,No,not sure,MAPUA,,,,carc
51,No,,,,,,,,,,carc
52,Yes,BS CHEMICAL ENGINEERING ,1st Degree,UP DILIMAN,Yes,yes,,,,,carc
53,No,,,,,,,,,,carc
54,Yes,BS COMPUTER SCIENCE,1st Degree,UP BAGUIO,Yes,yes,,,,,carc
55,Yes,BS PHARMACEUTICAL SCIENCES,1st Degree,UP MANILA,Yes,yes,,,,,carc
56,Yes,BS MATERIALS ENGINEERING,2nd Degree,UP DILIMAN,Yes,yes,,,,,carc
57,Yes,BS PHARMACEUTICAL SCIENCES,4th Degree,UP MANILA,Yes,yes,none,,,,carc
58,DPWAS,,,,,,,,,UP MANILA,carc
59,Yes,BS AGRICULTURAL AND BIOSYSTEMS ENGINEERING,2nd Degree,UP LOS BANOS,No,yes,,,,,carc
60,No,,,,,,,,,,carc
61,No,,,,,,,,,,carc
62,No,,,,,,,,,,carc
63,Yes,BS COMPUTER SCIENCE,3rd Degree,UP BAGUIO,Yes,no,SLU BAGUIO,,,,carc
64,No,,,,,,,,,,carc
65,No,,,,,,,,,,carc
66,No,,,,,,,,,,carc
67,No,,,,,,,,,,carc
68,Yes,BS COMPUTER ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,carc
69,Yes,BS CHEMICAL ENGINEERING ,2nd Degree,UP DILIMAN,Yes,yes,,,,,carc
70,No,,,,,,,,,,carc
71,Yes,BS PHYSICS,1st Degree,UP BAGUIO,Yes,yes,,,,,carc
0,Yes,BS PUBLIC HEALTH,1st Degree,UP MANILA,Yes,not sure,UST,,,,irc
1,No,,,,,,,,,,irc
2,No,,,,,,,,,,irc
3,No,,,,,,,,,,irc
4,No,,,,,,,,,,irc
5,Yes,BS FOOD TECHNOLOGY,4th Degree,UP DILIMAN,Yes,not sure,,,,,irc
6,Yes,BS BUSINESS ADMINISTRATION,2nd Degree,UP DILIMAN,Yes,no,DE LA SALLE UNIVERSITY,,,,irc
7,No,,,,,,,,,,irc
8,Yes,BS NUTRITION,1st Degree,UP LOS BANOS,No,not sure,UST,,,,irc
9,No,,,,,,,,,,irc
10,No,,,,,,,,,,irc
