app_status,pass_course,pass_courseDegreeChoice,pass_campus,pass_campusFirstChoice,pass_pursue,pass_otherUniversity,waitlist_course,waitlist_campus,dpwas_campus,campus
Yes,BS CHEMICAL ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,evc
No,,,,,,,,,,evc
No,,,,,,,,,,carc
DPWAS,,,,,,,,,UP BAGUIO,carc
No,,,,,,,,,,carc
No,,,,,,,,,,carc
Yes,BS GEOLOGY,1st Degree,UP DILIMAN,Yes,yes,,,,,carc
Yes,BS HOME ECONOMICS,3rd Degree,UP DILIMAN,Yes,yes,,,,,carc
Yes,BS HUMAN ECOLOGY,1st Degree,UP LOS BANOS,No,yes,,,,,carc
Yes,BS COMPUTER SCIENCE,1st Degree,UP BAGUIO,Yes,yes,,,,,carc
Yes,BS CHEMISTRY,2nd Degree,UP DILIMAN,Yes,yes,,,,,carc
Yes,BS ELECTRONICS ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,carc
Yes,BS COMPUTER ENGINEERING,2nd Degree,UP DILIMAN,Yes,yes,,,,,carc
No,,,,,,,,,,carc
Yes,BS ELECTRONICS ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,carc
No,,,,,,,,,,carc
No,,,,,,,,,,carc
Yes,BS CHEMICAL ENGINEERING,1st Degree,UP DILIMAN,Yes,not sure,ATENEO DE MANILA UNIVERSITY,,,,carc
No,,,,,,,,,,carc
DPWAS,,,,,,,,,UP DILIMAN,carc
No,,,,,,,,,,carc
Yes,BA POLITICAL SCIENCE,3rd Degree,UP DILIMAN,Yes,yes,,,,,carc
Yes,BS METALLURGICAL ENGINEERING,2nd Degree,UP DILIMAN,Yes,yes,,,,,carc
DPWAS,,,,,,,,,UP MANILA,carc
Yes,BS FOOD TECHNOLOGY,4th Degree,UP DILIMAN,Yes,yes,,,,,carc
Yes,BS PHARMACEUTICAL SCIENCES,2nd Degree,UP MANILA,Yes,yes,,,,,carc
DPWAS,,,,,,,,,UP MANILA,carc
DPWAS,,,,,,,,,UP MANILA,carc
DPWAS,,,,,,,,,UP MANILA,carc
No,,,,,,,,,,carc
Yes,BS BIOCHEMISTRY,1st Degree,UP MANILA,Yes,yes,,,,,carc
No,,,,,,,,,,carc
No,,,,,,,,,,carc
Yes,BS ELECTRONICS ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,carc
No,,,,,,,,,,carc
Yes,BS VETERINARY MEDICINE,4th Degree,UP LOS BANOS,Yes,not sure,Philippine State College of Aeronautics(if admitted),,,,carc
Yes,BS PHARMACEUTICAL SCIENCES,1st Degree,UP MANILA,Yes,yes,,,,,carc
Yes,BS PHARMACEUTICAL SCIENCES,1st Degree,UP MANILA,Yes,not sure,,,,,carc
No,,,,,,,,,,carc
DPWAS,,,,,,,,,UP MANILA,carc
No,,,,,,,,,,carc
Yes,BS APPLIED PHYSICS,1st Degree,UP LOS BANOS,No,not sure,"I will pursue UP if they allow me to transfer to UPB Com Sci. If they don't allow the transfer and I don't pass on the DOST Scholarship, I will pursue my course and campus. If they don't allow the transfer but I pass the DOST Scholarship, I will go to SLU to study Electrical Engineering.  ",,,,carc
Yes,BS COMPUTER SCIENCE,1st Degree,UP DILIMAN,Yes,yes,,,,,carc
No,,,,,,,,,,carc
Waitlisted,,,,,,,BS MATH,UP BAGUIO,,carc
Yes,BS CHEMICAL ENGINEERING,1st Degree,UP DILIMAN,Yes,no,ATENEO DE MANILA UNIVERSITY,,,,carc
No,,,,,,,,,,carc
No,NO,,,,,,,,,carc
DPWAS,,,,,,,,,UP BAGUIO,carc
No,,,,,,,,,,carc
Yes,BS COMPUTER SCIENCE,2nd Degree,UP BAGUIO,No,not sure,SAINT LOUIS UNIVERSITY BAGUIO CITY,,,,carc
Yes,BS CHEMICAL ENGINEERING,1st Degree,UP LOS BANOS,Yes,yes,,,,,carc
Yes,BS COMPUTER SCIENCE,1st Degree,UP LOS BANOS,No,not sure,MAPUA,,,,carc
No,,,,,,,,,,carc
Yes,BS CHEMICAL ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,carc
No,,,,,,,,,,carc
Yes,BS COMPUTER SCIENCE,1st Degree,UP BAGUIO,Yes,yes,,,,,carc
Yes,BS PHARMACEUTICAL SCIENCES,1st Degree,UP MANILA,Yes,yes,,,,,carc
Yes,BS MATERIALS ENGINEERING,2nd Degree,UP DILIMAN,Yes,yes,,,,,carc
Yes,BS PHARMACEUTICAL SCIENCES,4th Degree,UP MANILA,Yes,yes,none,,,,carc
DPWAS,,,,,,,,,UP MANILA,carc
Yes,BS AGRICULTURAL AND BIOSYSTEMS ENGINEERING,2nd Degree,UP LOS BANOS,No,yes,,,,,carc
No,,,,,,,,,,carc
No,,,,,,,,,,carc
No,,,,,,,,,,carc
Yes,BS COMPUTER SCIENCE,3rd Degree,UP BAGUIO,Yes,no,SLU BAGUIO,,,,carc
No,,,,,,,,,,carc
No,,,,,,,,,,carc
No,,,,,,,,,,carc
No,,,,,,,,,,carc
Yes,BS COMPUTER ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,carc
Yes,BS CHEMICAL ENGINEERING,2nd Degree,UP DILIMAN,Yes,yes,,,,,carc
No,,,,,,,,,,carc
Yes,BS PHYSICS,1st Degree,UP BAGUIO,Yes,yes,,,,,carc
Yes,BS PUBLIC HEALTH,1st Degree,UP MANILA,Yes,not sure,UST,,,,irc
No,,,,,,,,,,irc
No,,,,,,,,,,irc
No,,,,,,,,,,irc
No,,,,,,,,,,irc
Yes,BS FOOD TECHNOLOGY,4th Degree,UP DILIMAN,Yes,not sure,,,,,irc
Yes,BS BUSINESS ADMINISTRATION,2nd Degree,UP DILIMAN,Yes,no,DE LA SALLE UNIVERSITY,,,,irc
No,,,,,,,,,,irc
Yes,BS NUTRITION,1st Degree,UP LOS BANOS,No,not sure,UST,,,,irc
No,,,,,,,,,,irc
No,,,,,,,,,,irc
Yes,BS APPLIED PHYSICS,4th Degree,UP DILIMAN,Yes,not sure,ATENEO DE MANILA UNIVERSITY,,,,irc
DPWAS,,,,,,,,,UP LOS BANOS,irc
Yes,BS COMPUTER SCIENCE,1st Degree,UP LOS BANOS,No,yes,,,,,irc
Yes,BS BIOLOGY,1st Degree,UP DILIMAN,Yes,yes,,,,,irc
DPWAS,,,,,,,,,UP DILIMAN,irc
Yes,BS FOOD TECHNOLOGY,4th Degree,UP LOS BANOS,No,yes,,,,,irc
Yes,BS FOOD TECHNOLOGY ,3rd Degree,UP DILIMAN,Yes,not sure,,,,,irc
No,,,,,,,,,,irc
No,,,,,,,,,,irc
No,,,,,,,,,,irc
No,,,,,,,,,,irc
Yes,BS BIOLOGY,1st Degree,UP LOS BANOS,Yes,yes,,,,,irc
DPWAS,,,,,,,,,UP DILIMAN,irc
Yes,BS MATERIALS ENGINEERING,3rd Degree,UP DILIMAN,Yes,yes,,,,,irc
Yes,BS APPLIED MATHEMATICS,1st Degree,UP LOS BANOS,Yes,no,DE LA SALLE UNIVERSITY,,,,irc
No,,,,,,,,,,irc
Waitlisted,,,,,,,BS BIOLOGY,UP MANILA,,irc
DPWAS,,,,,,,,,UP MANILA,irc
DPWAS,,,,,,,,,UP LOS BANOS,irc
Yes,BS BIOLOGY,1st Degree,UP DILIMAN,Yes,yes,N/a,,,,irc
No,,,,,,,,,,irc
No,,,,,,,,,,irc
DPWAS,,,,,,,,,UP MANILA,irc
Yes,BS COMMUNITY NUTRITION,1st Degree,UP DILIMAN,Yes,not sure,UST ,,,,irc
No,,,,,,,,,,irc
Yes,BS PUBLIC HEALTH,1st Degree,UP MANILA,Yes,not sure,DE LA SALLE UNIVERSITY,,,,irc
No,,,,,,,,,,irc
